month,avg_alive,avg_deaths,avg_births,avg_males,avg_females,avg_mature,avg_pregnant,std_alive
0,10000.00,540.09,0.00,5004.63,4995.37,10000.00,0.00,0.00
1,9459.91,506.74,1043.57,4735.37,4724.54,9459.91,231.88,22.88
2,9996.74,739.29,1961.94,5003.44,4993.30,8953.17,436.27,79.68
3,11219.39,1125.34,1853.27,5612.94,5606.45,8469.74,411.64,150.60
4,11947.32,1393.83,1753.85,5976.78,5970.54,8014.80,389.66,188.04
5,12307.34,1559.14,2483.14,6157.71,6149.63,7582.70,552.58,219.75
6,13231.34,1864.83,3145.93,6621.18,6610.16,7176.79,700.07,222.84
7,14512.44,2249.30,3884.42,7260.20,7252.24,6948.96,863.25,239.63
8,16147.56,2718.24,4757.33,8080.80,8066.76,6900.10,1056.60,288.23
9,18186.65,3285.26,5473.94,9092.59,9094.06,6836.91,1216.35,327.04
10,20375.33,3879.16,6089.61,10193.19,10182.14,6713.76,1353.12,387.55
11,22585.78,4476.54,6705.62,11294.43,11291.35,6667.78,1490.50,419.07
12,24814.86,5072.25,7348.37,12409.94,12404.92,6706.46,1635.17,464.28
13,27090.98,5679.49,7033.78,13540.11,13550.87,6842.82,1563.93,479.80
14,28445.27,6063.13,6864.67,14223.86,14221.41,7075.26,1525.88,514.16
15,29246.81,6310.32,7225.90,14624.26,14622.55,7367.90,1605.61,530.31
16,30162.39,6579.35,7601.27,15075.97,15086.42,7686.37,1688.89,543.72
17,31184.31,6874.41,7652.86,15580.15,15604.16,8014.28,1701.93,553.02
18,31962.76,7101.79,7736.93,15975.33,15987.43,8367.47,1718.70,598.89
19,32597.90,7285.99,7714.19,16296.23,16301.67,8584.94,1716.14,632.04
20,33026.10,7429.24,7583.85,16521.52,16504.58,8672.64,1686.24,651.96
21,33180.71,7499.29,7455.32,16599.97,16580.74,8749.11,1655.45,716.21
22,33136.74,7529.30,7356.81,16568.14,16568.60,8849.52,1634.66,733.22
23,32964.25,7510.54,7299.19,16484.29,16479.96,8917.05,1620.53,746.16
24,32752.90,7488.93,7207.90,16381.05,16371.85,8968.34,1600.09,728.76
25,32471.87,7450.74,7376.47,16237.79,16234.08,8983.64,1639.51,733.71
26,32397.60,7459.36,7408.30,16203.93,16193.67,8938.45,1645.88,748.96
27,32346.54,7468.54,7410.90,16175.40,16171.14,8854.98,1646.63,801.11
28,32288.90,7487.73,7371.52,16149.76,16139.14,8738.51,1638.18,819.98
29,32172.69,7471.70,7337.10,16075.40,16097.29,8609.53,1630.65,873.26
30,32038.09,7465.12,7266.19,16013.79,16024.30,8480.31,1613.84,861.86
31,31839.16,7423.72,7204.63,15924.77,15914.39,8374.52,1601.34,860.35
32,31620.07,7391.76,7200.50,15815.15,15804.92,8290.50,1599.13,852.37
