simulation,month,alive,deaths,births,males,females,mature,pregnant
1,0,10000,528,0,5034,4966,10000,0
1,1,9472,519,1082,4775,4697,9472,237
1,2,10035,699,1975,5032,5003,8953,435
1,3,11311,1107,1810,5677,5634,8515,398
1,4,12014,1399,1884,6038,5976,8065,417
1,5,12499,1530,2657,6244,6255,7630,589
1,6,13626,1966,3173,6795,6831,7219,704
1,7,14833,2362,4029,7380,7453,6997,895
1,8,16500,2761,4718,8190,8310,6939,1053
1,9,18457,3293,5636,9259,9198,6912,1257
1,10,20800,3914,6136,10453,10347,6834,1365
1,11,23022,4604,6672,11535,11487,6801,1496
1,12,25090,5049,7401,12550,12540,6826,1657
1,13,27442,5882,7335,13737,13705,6984,1647
1,14,28895,6135,7335,14524,14371,7161,1612
1,15,30095,6404,7493,15132,14963,7460,1671
1,16,31184,6793,7776,15712,15472,7779,1723
1,17,32167,7064,7953,16163,16004,8229,1788
1,18,33056,7368,8028,16619,16437,8539,1777
1,19,33716,7518,7836,17013,16703,8762,1757
1,20,34034,7721,8047,17219,16815,8884,1789
1,21,34360,7753,7945,17396,16964,9004,1779
1,22,34552,7784,7893,17451,17101,9090,1748
1,23,34661,7831,7867,17433,17228,9218,1719
1,24,34697,7925,7643,17471,17226,9303,1698
1,25,34415,8034,8038,17299,17116,9345,1779
1,26,34419,8124,7933,17363,17056,9336,1758
1,27,34228,7964,7846,17240,16988,9209,1753
1,28,34110,8006,7907,17112,16998,9115,1737
1,29,34011,8035,8008,16926,17085,8943,1781
1,30,33984,7899,7664,16981,17003,8805,1699
1,31,33749,7879,7489,16935,16814,8780,1677
1,32,33359,7779,7730,16715,16644,8722,1728
1,33,33310,7758,7530,16802,16508,8604,1655
1,34,33082,7797,7585,16661,16421,8593,1681
1,35,32870,7684,7651,16469,16401,8529,1704
1,36,32837,7695,7529,16515,16322,8469,1688
1,37,32671,7642,7329,16429,16242,8308,1638
1,38,32358,7673,7706,16214,16144,8188,1700
1,39,32391,7613,7537,16353,16038,8077,1675
1,40,32315,7719,7284,16155,16160,8059,1613
1,41,31880,7526,7513,15911,15969,7916,1661
1,42,31867,7473,7487,15942,15925,7889,1669
1,43,31881,7635,7192,15940,15941,7882,1606
1,44,31438,7459,7313,15659,15779,7872,1620
1,45,31292,7361,7364,15605,15687,7774,1654
1,46,31295,7502,7042,15587,15708,7726,1567
1,47,30835,7319,7148,15380,15455,7595,1580
1,48,30664,7293,7333,15372,15292,7573,1644
1,49,30704,7301,7180,15490,15214,7438,1589
1,50,30583,7370,7193,15258,15325,7468,1592
1,51,30406,7430,6973,15204,15202,7300,1537
1,52,29949,7163,6935,15002,14947,7152,1555
1,53,29721,7155,7201,14840,14881,7187,1599
1,54,29767,7018,6927,14840,14927,7032,1541
1,55,29676,7162,6832,14849,14827,7065,1536
1,56,29346,7229,7047,14786,14560,7032,1551
1,57,29164,6959,6717,14613,14551,6841,1492
1,58,28922,7093,6797,14495,14427,6846,1505
1,59,28626,6851,6798,14403,14223,6826,1507
1,60,28573,6770,6703,14390,14183,6845,1505
1,61,28506,6919,6858,14404,14102,6709,1520
1,62,28445,6934,6828,14251,14194,6704,1505
1,63,28339,6769,6547,14221,14118,6658,1461
1,64,28117,6737,6777,14143,13974,6614,1510
1,65,28157,6842,6794,14106,14051,6587,1515
1,66,28109,6695,6616,14025,14084,6553,1468
1,67,28030,6799,6428,14002,14028,6525,1431
1,68,27659,6795,6761,13851,13808,6540,1493
1,69,27625,6824,6423,13837,13788,6436,1418
1,70,27224,6709,6294,13601,13623,6327,1406
1,71,26809,6573,6422,13368,13441,6228,1432
1,72,26658,6365,6315,13372,13286,6139,1408
1,73,26608,6517,6405,13352,13256,6131,1421
1,74,26496,6394,6255,13373,13123,6137,1402
