Month,Total_Alive,Males,Females,Male_Percentage,Female_Percentage,Mature_Rabbits,Pregnant_Females,Births,Deaths,Avg_Age,Min_Age,Max_Age
0,3,2,1,66.67,33.33,3,0,0,0,12.00,10,14
1,3,2,1,66.67,33.33,3,0,0,0,13.00,11,15
2,2,2,1,100.00,50.00,2,0,0,1,15.00,14,16
3,2,2,1,100.00,50.00,2,0,0,0,16.00,15,17
4,2,2,1,100.00,50.00,2,0,0,0,17.00,16,18
5,2,2,1,100.00,50.00,2,0,0,0,18.00,17,19
6,2,2,1,100.00,50.00,2,0,0,0,19.00,18,20
7,2,2,1,100.00,50.00,2,0,0,0,20.00,19,21
8,2,2,1,100.00,50.00,2,0,0,0,21.00,20,22
9,2,2,1,100.00,50.00,2,0,0,0,22.00,21,23
10,2,2,1,100.00,50.00,2,0,0,0,23.00,22,24
11,2,2,1,100.00,50.00,2,0,0,0,24.00,23,25
12,1,2,1,200.00,100.00,1,0,0,1,26.00,26,26
13,1,2,1,200.00,100.00,1,0,0,0,27.00,27,27
14,1,2,1,200.00,100.00,1,0,0,0,28.00,28,28
15,1,2,1,200.00,100.00,1,0,0,0,29.00,29,29
16,1,2,1,200.00,100.00,1,0,0,0,30.00,30,30
17,1,2,1,200.00,100.00,1,0,0,0,31.00,31,31
18,1,2,1,200.00,100.00,1,0,0,0,32.00,32,32
19,1,2,1,200.00,100.00,1,0,0,0,33.00,33,33
20,1,2,1,200.00,100.00,1,0,0,0,34.00,34,34
21,1,2,1,200.00,100.00,1,0,0,0,35.00,35,35
