# Rabbit Simulation Summary
# Initial Population: 10000
# Months Simulated: 30
# Number of Simulations: 10
# Base Seed: 1763932850
#
Sim_Number,Final_Alive,Total_Dead,Final_Males,Final_Females,Male_Pct,Female_Pct,Peak_Pop,Peak_Month,Min_Pop,Min_Month,Extinction_Month,Months_Simulated
1,959856,433006,696506,696356,72.56,72.55,814238,29,9586,1,0,30
2,942233,424954,683615,683572,72.55,72.55,798673,29,9593,1,0,30
3,967387,435498,701600,701285,72.53,72.49,820805,29,9580,1,0,30
4,972553,440239,706303,706489,72.62,72.64,824038,29,9578,1,0,30
5,918455,414393,665315,667533,72.44,72.68,778998,29,9556,1,0,30
6,963248,437643,700542,700349,72.73,72.71,817123,29,9592,1,0,30
7,943039,425555,684004,684590,72.53,72.59,798511,29,9569,1,0,30
8,967329,437699,703113,701915,72.69,72.56,820374,29,9601,1,0,30
9,964751,434809,699574,699986,72.51,72.56,818113,29,9604,1,0,30
10,937259,424015,680456,680818,72.60,72.64,794387,29,9577,1,0,30
